"","pes21_occ_text"
"1359","Pompier"
"1360","-99"
"1361",""
"1362","Sales"
"1363","-99"
"1364","Artist"
"1365",""
"1366"," retired"
"1367","-99"
"1368","-99"
"1369",""
"1370","Systems support"
"1371","-99"
"1372","comptable"
"1373",""
"1374","-99"
"1375","homemaker"
"1376","dental assistant"
"1377","Marketing consultant"
"1378","Analyste informatique"
"1379","soudeur"
"1380",""
"1381","enseignant"
"1382","-99"
"1383",""
"1384","Coordonnatrice aux ventes"
"1385","Electronics technician"
"1386","Salarié"
"1387","conseillere en rémunération"
"1388","-99"
"1389",""
"1390","aucun"
"1391","Professeur"
"1392",""
"1393","Photographer"
"1394","Purchasing Manager"
"1395",""
"1396","Administrator"
"1397","Directrice ressources humaines"
"1398","Sales"
"1399",""
"1400","HR Systems Analyst"
"1401","Customer service"
"1402","Procurement Specialist"
"1403",""
"1404","handicapé- concepteur de réseau"
"1405",""
"1406",""
"1407","Police officer retired"
"1408","Mechanical support"
"1409",""
"1410","IT Manager"
"1411",""
"1412","Travel agent"
"1413","Accountant"
"1414","Death Investigation"
"1415","Power engineer"
"1416",""
"1417","-99"
"1418",""
"1419","Pharmacien propriétaire"
"1420","Professionnelle"
"1421","Human Resources"
"1422","Sander"
"1423",""
"1424","Full time student part time weight loss consultant"
"1425","Direction TI"
"1426","Full time teaching assistant"
"1427","Employé de la Fonction publique du Canada"
"1428","Travailleur à temps plein"
"1429","teacher"
"1430",""
"1431",""
"1432","-99"
"1433",""
"1434","Administration publique"
"1435","teacher"
"1436","sales"
"1437","Directeur de CPE"
"1438","Professor"
"1439","office manager"
"1440","Work"
"1441","coordonatrice aux projets (publicité)"
"1442","Étudiante"
"1443","farm"
"1444",""
"1445","-99"
"1446","Actor"
"1447","Enseignante"
"1448","labourer"
"1449","-99"
"1450","Travailleurs construction"
"1451","Homemaker"
"1452","-99"
"1453","Finance"
"1454","Transportation Services Manager"
"1455","office worker"
"1456","general manager"
"1457","-99"
"1458","Instructional Designer"
"1459","Customer service manager"
"1460","Resource Agent"
"1461","Veterinarian"
"1462","Teacher"
"1463","IT Systems Architect"
"1464",""
"1465","Retired"
"1466",""
"1467","Admin Support"
"1468",""
"1469",""
"1470","Gestionnaire municipal"
"1471","Psychoeducatrice"
"1472","temps plein"
"1473","-99"
"1474","retired"
"1475",""
"1476","child and youth worker"
"1477","Retraité"
"1478","-99"
"1479","civil servant"
"1480","militaire"
"1481",""
"1482",""
"1483",""
"1484","Educational assistant"
"1485","Sr Managar"
"1486",""
"1487","Conseiller en communication"
"1488","Retired"
"1489","Investments"
"1490","self employed part time"
"1491",""
"1492","disabled"
"1493",""
"1494",""
"1495","-99"
"1496","N/A. On ODSP"
"1497","Gestion informatique"
"1498",""
"1499","Maintenance"
"1500","programmer"
"1501","educator"
"1502","automotive parts manager"
"1503","-99"
"1504",""
"1505","Homemaker"
"1506","Supervisor"
"1507",""
"1508","Flight crew"
"1509","Self Employed"
"1510","Home"
"1511","Retired"
"1512",""
"1513",""
"1514",""
"1515","Travaille de bureau temps plein"
"1516",""
"1517","Teacher"
"1518","Retraitée"
"1519","Retired library technician"
"1520","Union officers"
"1521",""
"1522",""
"1523","Teacher"
"1524",""
"1525","retraite"
"1526","-99"
"1527","-99"
"1528","Étudiante"
"1529","Video Editor"
"1530",""
"1531","Opérateur"
"1532","Signaleuse"
"1533","Marketing Manager"
"1534","enseignant"
"1535","financial administrator"
"1536",""
"1537","Education"
"1538","retraite"
"1539","-99"
"1540",""
"1541","etudiante"
"1542",""
"1543",""
"1544","business owner"
"1545",""
"1546","Lab technologist"
"1547",""
"1548","Public service assistant, local government"
"1549","business executive"
"1550",""
"1551","free lancer"
"1552","Procurement & Logistics Processor"
"1553","-99"
"1554","Manual labour"
"1555","Educator"
"1556",""
"1557",""
"1558","Dental hygienist"
"1559","Administrative assistant"
"1560","-99"
"1561",""
"1562","Information Technology"
"1563","enseignante"
"1564","Business Analyst Consultant"
"1565","DSP"
"1566","Front Desk Supervisor"
"1567","Finance"
"1568","Infirmiere"
"1569",""
"1570",""
"1571","-99"
"1572",""
"1573","insurance"
"1574",""
"1575",""
"1576",""
"1577","Bookkeeper retired"
"1578","enseignante"
"1579","Social worker"
"1580","child protection worker"
"1581",""
"1582","Sales"
"1583","executive"
"1584","Retired now. Was administrative assistant."
"1585","Sales"
